Date,User,Tweet
2023-04-15 10:55:36+00:00,Matthew51837195,"@KawsachunNews Lula, might help also if you insist Russia leads Ukraine. I have a feeling that might help peace. 

The west providing weapons to defend itself against Russian aggression is really not the problem. 

Do you think Russia will walk away if Ukraine stop fighting? Me neither."
2023-04-15 10:55:24+00:00,serpentbanned,"@FartherStephen @CrammGillian @ZelenskyyUa In its modern history Russia has been at war with a neighboring country or province every single year except 1998. Ukraine was invaded in 1919, and after decades of Russification watering out their language, culture and even people, they were free in 1991."
2023-04-15 10:55:16+00:00,envirolumiere,@AnitaAnandMP @cybercentre_ca Actually it was very justified. The territory they are currently in voted and left ukraine. It asked for russia to protect it same as how kosovo was created. Stop your bs because so far over 250k ukraine soldiers are dead and more than that are injured. Russia is only at 50k
2023-04-15 10:55:07+00:00,rstreber,And Russia needs to leave Ukraine.
2023-04-15 10:55:07+00:00,Andromeda11711,"US Army Colonel, Douglas MacGregor re Ukraine:

BAKHMUT was a trap "" meat grinder"" to bring lure in UKRAINE military forces ( sounds really bad... But this is the Truth of what's Russia did to take over BAKHMUT and severally cripple Ukraine military regimens) ...

The Real report…"
2023-04-15 10:54:59+00:00,ThePatriotMouse,"That boy is a patriot, now the public knows the truth. Ukraine has been losing to Russia at a rate of 7 to 1 dead.  Money has been laundered by the democrats on a massive scale."
2023-04-15 10:54:51+00:00,DzawandaMK,"Okay. Lemme get it straight. 

Germany is a US ally. The US is anti China. 

Germany goes to China, asks them to convince their neighbors, Russia, to stop the war in Ukraine. 

China asks Germany to support the reunification of Taiwan with mainland China of which the US opposes."
2023-04-15 10:54:44+00:00,real1maria,"""We are funding a project run by [NGOs], mainly in Ukraine but also in some other countries in the region, an open government .... building kind of an action plan for Russia"" — James William Thomas Ford https://t.co/nvQiasheVI"
2023-04-15 10:54:43+00:00,AboutUkrainewar,"Having seized a “fat chunk” of Ukrainian territory, the strategic option for Russia would be to lock down and defend those gains, Prigozhin wrote in the lengthy post published Friday. 
#StopRussia"
2023-04-15 10:54:41+00:00,Cowleybrake,"@RussianEmbassy @mfa_russia @guardianculture @BBC_Culture @RusArtCulture @timesculture @Russia Pillaging and destroying museums and cultural centres in Ukraine is a 'crime'. 

Russia should return all stolen art from Kherson museum!

#UniversalDayofCulture https://t.co/mytF05A62T"
2023-04-15 10:54:39+00:00,shehzadyounis,Ukraine updates: Russia has 're-energized' Bakhmut assault https://t.co/UV2idKATje
2023-04-15 10:54:33+00:00,MJW_DC,"Marine Le Pen: ‘If Russia wins the war, it will be catastrophic... if Ukraine wins, it will mean WWIII has been unleashed’ https://t.co/DQb2cfpObj via @elpaisinenglish"
2023-04-15 10:54:33+00:00,DeinhardtTimea,"@elonmusk @WallStreetSilv it's been happening for awhile now 
all over nazi-infested Ukraine.
Trying to wipe out Russia...
is tantamount to wiping out the history of Kiev,
which is where Russia BEGAN: the Kievan Rus,
a thousand years ago.
I'm old enough to remember the USSR 
when it was just ""the ukraine"""
2023-04-15 10:54:33+00:00,RipGunther,"@DonaldJTrumpJr Look Don, I don't give a rat's ass what that little weasel's motivation was (and it wasn't altruistic) - he has put a number of patriot's lives in danger. US Army SF to begin with (in Ukraine doing what ordered to do), undercover agents in China, Russia, and Iran. He is a traitor"
2023-04-15 10:54:27+00:00,rstreber,Russia must leave Ukraine than freedom will be a fact.
2023-04-15 10:54:25+00:00,SoReSeMyBaRi,"@cccrewmom @bolgadin @dirtyshortz @RWApodcast Ukraine's infrastructure and energy depended entirely on Russia. From hydrocarbons to nuclear fuel to coal. They probably got gas for free. Today, they still have to buy diesel from Russia. All the pipelines to Europe. And now what? Coal from Pennsylvania lol. Must be cheaper."
2023-04-15 10:54:16+00:00,Eugene_4815,"@Consilium_Opes @McFaul And while Russia sends it's criminals and thughs to the front, we are sending our best, bravest, smartest. This war is killing the best of our men, and the worst of Russian. What will be with Ukraine in 20 years after that?"
2023-04-15 10:54:10+00:00,Undetermined_US,@AleksRoessiger @mtracey @AmyZegart Why would they divulge Egypt was considering sending rockets to Russia? Egypt is no a big supporter of Ukraine. They do need more rockets for AD. They have to solve that before the spring offensive. Patriot system arriving in Ukraine momentarily/ Sout Korea is not a big Ukraine
2023-04-15 10:53:59+00:00,MoatazSHamza,"@JanetWorstnop @Dsgrntld1 @Ostrov_A @ForeignAffairs I don’t support Russian imperialism. 

Russia is defending itself from NATO, which has set up a proxy to wage war against it in Ukraine.

It’s NATO that caused the Ukraine War, not Russia.

Ukrainian Nazis were also incorporated into its formal army and:

https://t.co/7pqcStd1M4"
2023-04-15 10:53:58+00:00,AlesMusial,"@talkrealopinion It is as surprising as that water is wet. But US Ukrainian supporters who didn't know UA exist until last year and still probably can't locate UA on map, still believe in Russia gate, believe that Ukraine is some magical country full of LGBT+BUSHIT, perfect democracy and were…"
2023-04-15 10:53:45+00:00,GeorgeRix57,"@Beefeater_Fella @azeraphalle @Russia @russiabeyond @NatGeo @rgo_ru @RussiaTravelEN @rusmania_travel @travelchannel @TravelLeisure @MID_Kamchatka Don't be mean Ukraine, give the orcs some toilets like the US Navy did! https://t.co/HN6ZigrsOC"
2023-04-15 10:53:25+00:00,frnkae,"@paddycheloti @mtracey No, Russia are bad
No matter what Russian propaganda tells you, they invaded Ukraine and are commiting genocides on civils"
2023-04-15 10:53:00+00:00,osamanews3,"Elite Ukrainian troops destroy and ambush Russian Wagner Groups in Bakhmut
#Russia #Ukraine #America #Bakhmut #trumpmugshot https://t.co/zTInxLbDwY"
2023-04-15 10:53:00+00:00,therealhans64,"@LulaOficial it’s unbelievable. The part of the world that respects the borders of al country’s in the
World (the west) is ordered by @LulaOficial to stop encourage the war in Ukraine,without saying that Russia needs to pullback the sovereign country. We know who the criminal is!"
2023-04-15 10:52:54+00:00,yusr35144430,"The Truth About Drone Warfare in Ukraine
 #Canada #Germany #Ukraine #Russia #Bachmut
 https://t.co/VwS6HJ0vqR"
